CATALOG #,Group,Sex,GOL,XCB,BBH,XFB,STB,ASB,FOL,BNL,BPL,ZYB,UFHT,NLH,NLW,OBB,OBH,MAB
6,Anat,M,172,137,125,113,117,113,35,94,92,120,61,49,24,37,32,59
7,Anat,M,170,140,133,111,116,112,40,104,102,118,69,51,26,37,33,64
8,Anat,M,183,140,135,123,112,122,36,106,100,127,68,54,25,42,37,56
9,Anat,M,177,139,134,115,118,117,33,105,105,135,68,51,27,40,34,66
10,Anat,M,173,135,127,105,106,113,41,94,86,124,63,49,22,38,38,56
11,Anat,M,168,135,128,113,115,103,34,90,87,127,59,48,21,39,37,57
12,Anat,M,161,120,124,100,100,92,35,90,87,113,59,44,25,37,33,55
13,Anat,M,183,130,129,112,112,103,37,99,92,126,62,46,33,41,35,65
14,Anat,M,177,124,132,99,103,98,34,93,94,113,57,42,23,35,30,58
15,Anat,M,162,131,128,101,108,96,37,93,93,117,63,43,24,38,32,58
16,Anat,M,161,125,121,102,97,98,35,90,86,116,59,46,22,38,34,56
17,Anat,M,168,138,131,109,116,108,36,95,87,130,60,46,24,40,35,60
18,Anat,M,185,130,133,106,103,107,37,101,92,121,61,50,22,35,34,56
19,Anat,M,189,145,128,113,117,112,33,96,90,129,67,49,20,39,36,63
20,Anat,M,175,128,132,103,105,115,37,94,92,119,65,49,26,39,33,66
21,Anat,M,179,129,127,108,107,108,35,98,94,126,61,47,27,38,35,61
22,Anat,M,160,133,132,107,110,100,35,88,89,124,69,52,24,36,36,64
23,Anat,M,175,127,127,112,108,101,35,101,93,122,66,51,21,36,32,59
24,Anat,M,181,148,140,120,123,114,39,95,94,123,62,48,28,42,36,63
25,Anat,M,184,128,133,104,112,98,35,98,95,117,63,49,26,36,31,63
26,Anat,M,179,135,131,105,114,101,37,102,100,135,65,50,26,39,33,63
27,Anat,M,163,117,131,102,90,97,36,104,98,125,67,52,25,37,31,64
28,Anat,M,174,134,135,111,115,100,34,100,93,124,58,47,27,39,33,61
29,Anat,M,169,121,121,105,106,96,33,93,94,115,61,44,25,38,32,61
30,Anat,M,182,128,132,108,111,98,34,99,91,134,61,50,26,44,35,65
31,Anat,M,178,131,128,108,109,96,35,101,96,128,62,44,27,42,31,67
32,Anat,M,191,139,130,117,118,109,39,102,94,132,62,51,24,38,34,64
33,Anat,M,178,132,140,110,112,101,35,105,96,122,67,52,25,39,33,63
34,Anat,M,175,150,129,125,131,115,35,97,93,133,66,49,22,39,33,63
35,Anat,M,179,136,126,108,115,108,29,97,91,118,69,49,22,36,33,55
36,Anat,M,176,138,133,118,114,106,35,101,94,136,71,52,22,39,36,52
37,Anat,M,168,120,124,104,116,89,33,92,90,112,59,45,23,34,30,58
1838,ARIKARA,F,173,135,118,112,111,101,33,94,89,132,62,48,27,40,32,58
1839,ARIKARA,F,163,135,123,109,101,105,33,90,88,129,72,52,25,38,35,60
1840,ARIKARA,F,162,134,133,115,112,103,40,98,100,129,65,49,26,39,36,59
1841,ARIKARA,F,171,137,131,108,104,106,37,97,99,128,64,48,27,37,34,65
1842,ARIKARA,F,172,142,128,117,116,106,36,95,87,124,65,52,25,39,35,61
1843,ARIKARA,F,166,135,121,107,100,106,34,95,93,133,64,50,24,39,33,64
1844,ARIKARA,F,169,136,129,113,110,107,35,94,96,132,68,51,26,39,33,63
1845,ARIKARA,F,174,139,130,115,109,102,35,101,98,143,66,52,27,40,37,68
1846,ARIKARA,F,173,135,125,115,106,107,33,95,90,131,65,51,27,37,36,65
1847,ARIKARA,F,170,137,126,115,111,103,38,97,94,130,69,49,25,38,34,60
1848,ARIKARA,F,172,140,133,116,114,111,36,95,97,128,68,53,26,38,34,64
1849,ARIKARA,F,171,134,131,111,104,98,36,104,99,130,69,51,25,40,33,63
1850,ARIKARA,F,178,139,127,113,107,108,37,103,94,128,66,51,24,39,34,61
1851,ARIKARA,F,168,138,137,117,112,109,38,102,94,134,67,50,29,38,36,63
1852,ARIKARA,F,181,142,123,118,114,100,35,101,104,126,76,55,26,41,36,63
1853,ARIKARA,F,175,141,125,119,111,102,36,94,93,138,67,52,30,40,37,64
1854,ARIKARA,F,176,142,128,115,114,114,36,98,96,135,72,51,24,40,35,60
1855,ARIKARA,F,162,133,124,105,100,97,34,94,93,127,69,49,25,40,36,64
1856,ARIKARA,F,186,136,125,112,107,113,36,97,93,133,72,51,26,42,37,61
1857,ARIKARA,F,179,131,123,112,107,117,35,98,103,133,74,54,26,40,36,65
